Source Name	Comment[original source name]	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[individual]	Characteristics[organism part]	Characteristics[fraction]	Characteristics[protocol]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Comment[spike in]	Comment[cdna read]	Comment[cdna read offset]	Comment[cdna read size]	Comment[cell barcode offset]	Comment[cell barcode read]	Comment[cell barcode size]	Comment[umi barcode offset]	Comment[umi barcode read]	Comment[umi barcode size]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[BAM_URI]	Comment[read1 file]	Comment[FASTQ_URI]	Comment[read2 file]	Comment[FASTQ_URI]	Factor Value[developmental stage]	Factor Value[age]	Unit[time unit]	Factor Value[phenotype]	Factor Value[protocol]
A16_TH_TOT_5GEX_3	4861STDY7528587	ERS4228654	SAMEA6463149	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528587	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	151	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528587	sequencing assay	ERX3806139	4861STDY7528587.bam	4861STDY7528587.bam	ERR3804249	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804249/4861STDY7528587.bam	4861STDY7528587_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528587_R1.fastq.gz	4861STDY7528587_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528587_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5GEX_4	4861STDY7528588	ERS4228655	SAMEA6463150	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528588	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	96	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528588	sequencing assay	ERX3806140	4861STDY7528588.bam	4861STDY7528588.bam	ERR3804250	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804250/4861STDY7528588.bam	4861STDY7528588_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528588_R1.fastq.gz	4861STDY7528588_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528588_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5GEX_5	4861STDY7528589	ERS4228656	SAMEA6463151	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528589	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	151	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528589	sequencing assay	ERX3806141	4861STDY7528589.bam	4861STDY7528589.bam	ERR3804251	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804251/4861STDY7528589.bam	4861STDY7528589_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528589_R1.fastq.gz	4861STDY7528589_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528589_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5GEX_6	4861STDY7528590	ERS4228657	SAMEA6463152	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528590	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	151	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528590	sequencing assay	ERX3806142	4861STDY7528590.bam	4861STDY7528590.bam	ERR3804252	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804252/4861STDY7528590.bam	4861STDY7528590_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528590_R1.fastq.gz	4861STDY7528590_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528590_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5GEX_7	4861STDY7528591	ERS4228658	SAMEA6463153	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528591	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	151	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528591	sequencing assay	ERX3806143	4861STDY7528591.bam	4861STDY7528591.bam	ERR3804253	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804253/4861STDY7528591.bam	4861STDY7528591_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528591_R1.fastq.gz	4861STDY7528591_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528591_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
A16_TH_TOT_5GEX_8	4861STDY7528592	ERS4228659	SAMEA6463154	Homo sapiens	adult	20 to 25	year	EFO	UO_0000036	female	A16	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	4861STDY7528592	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	151	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	4861STDY7528592	sequencing assay	ERX3806144	4861STDY7528592.bam	4861STDY7528592.bam	ERR3804254	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804254/4861STDY7528592.bam	4861STDY7528592_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528592_R1.fastq.gz	4861STDY7528592_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/4861STDY7528592_R2.fastq.gz	postnatal	20 to 25	year	total cells	gene expression
C34_TH_TOT_5GEX	5478STDY7935100	ERS4228628	SAMEA6463123	Homo sapiens	embryo	9	week	  	  	female	C34	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	5478STDY7935100	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	96	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	5478STDY7935100	sequencing assay	ERX3806113	5478STDY7935100.bam	5478STDY7935100.bam	ERR3804223	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804223/5478STDY7935100.bam	5478STDY7935100_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/5478STDY7935100_R1.fastq.gz	5478STDY7935100_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/5478STDY7935100_R2.fastq.gz	prenatal	9	week	total cells	gene expression
A45_TH_EPCAM_5GEX	A45_TH_EPCAM	ERS4228625	SAMEA6463120	Homo sapiens	adolescent	15 to 20	year	EFO	UO_0000036	male	A45	thymus	EPCAM-positive	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	A45_TH_EPCAM	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	41	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	A45_TH_EPCAM	sequencing assay	ERX3806110	A45_TH_EPCAM.bam	A45_TH_EPCAM.bam	ERR3804220	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804220/A45_TH_EPCAM.bam	A45_TH_EPCAM_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/A45_TH_EPCAM_R1.fastq.gz	A45_TH_EPCAM_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/A45_TH_EPCAM_R2.fastq.gz	postnatal	15 to 20	year	EPCAM-positive	gene expression
F83_TH_EPCAM_5GEX	F83_TH_EPCAM	ERS4228624	SAMEA6463119	Homo sapiens	late embryo	17	week	  	  	female	F83	thymus	EPCAM-positive	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	F83_TH_EPCAM	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	5 prime tag	polyA RNA	oligo-dT	none	read 2	0	41	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	F83_TH_EPCAM	sequencing assay	ERX3806109	F83_TH_EPCAM.bam	F83_TH_EPCAM.bam	ERR3804219	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804219/F83_TH_EPCAM.bam	F83_TH_EPCAM_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/F83_TH_EPCAM_R1.fastq.gz	F83_TH_EPCAM_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/F83_TH_EPCAM_R2.fastq.gz	prenatal	17	week	EPCAM-positive	gene expression
F21_TH_45P	FCAImmP7179369	ERS4228612	SAMEA6463107	Homo sapiens	late embryo	16	week	  	  	male	F21	thymus	CD45-positive	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	FCAImmP7179369	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	FCAImmP7179369	sequencing assay	ERX3806097	FCAImmP7179369.bam	FCAImmP7179369.bam	ERR3804207	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804207/FCAImmP7179369.bam	FCAImmP7179369_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7179369_R1.fastq.gz	FCAImmP7179369_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7179369_R2.fastq.gz	prenatal	16	week	CD45-positive	gene expression
F21_TH_45N	FCAImmP7179370	ERS4228597	SAMEA6463092	Homo sapiens	late embryo	16	week	  	  	male	F21	thymus	CD45-negative	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	FCAImmP7179370	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	FCAImmP7179370	sequencing assay	ERX3806082	FCAImmP7179370.bam	FCAImmP7179370.bam	ERR3804192	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804192/FCAImmP7179370.bam	FCAImmP7179370_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7179370_R1.fastq.gz	FCAImmP7179370_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7179370_R2.fastq.gz	prenatal	16	week	CD45-negative	gene expression
F22_TH_TOT	FCAImmP7198432	ERS4228629	SAMEA6463124	Homo sapiens	embryo	9	week	  	  	female	F22	thymus	total cells	gene expression	organism part	P-MTAB-92512	P-MTAB-92513	P-MTAB-92514	FCAImmP7198432	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	RNA-Seq	150	0	10x	10xV2	3 prime tag	polyA RNA	oligo-dT	none	read 2	0	98	0	read 1	16	16	read 1	10	P-MTAB-92515	Wellcome Sanger Institute	FCAImmP7198432	sequencing assay	ERX3806114	FCAImmP7198432.bam	FCAImmP7198432.bam	ERR3804224	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR380/ERR3804224/FCAImmP7198432.bam	FCAImmP7198432_R1.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7198432_R1.fastq.gz	FCAImmP7198432_R2.fastq.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-8581/FCAImmP7198432_R2.fastq.gz	prenatal	9	week	total cells	gene expression
